"","latitude","longitude","brightness","acq_date","acq_time","confidence","bright_t31","frp"
"1",34.0973,-117.5271,302.8,2007-01-04,"1851",54,289,4.3
"2",37.6486,-120.6098,300.8,2007-01-05,"0554",33,276.3,10.6
"3",36.6754,-119.9557,300.5,2007-01-05,"1934",36,281.3,26.6
"4",36.4905,-119.6474,304.3,2007-01-05,"1934",58,282.2,41.1
"5",33.5827,-117.6155,300.9,2007-01-06,"0636",36,280.8,39.2
"6",33.5807,-117.6418,327.4,2007-01-06,"0636",100,281.1,143.7
"7",33.5806,-117.647,320.6,2007-01-06,"0636",100,280.6,109.8
"8",37.6672,-121.2836,309,2007-01-06,"1838",68,279.3,19.6
"9",35.9589,-118.8524,304.7,2007-01-06,"1839",60,283.2,9.5
"10",34.604,-117.3349,300.6,2007-01-06,"1839",39,286.6,4.3
"11",34.0974,-117.5314,307.5,2007-01-06,"1839",66,290.4,6.1
"12",37.6506,-120.5954,311.7,2007-01-07,"1921",72,284.8,26.3
"13",33.9357,-117.6537,314.9,2007-01-07,"1922",75,293.5,57.5
"14",33.9263,-117.6151,311.5,2007-01-07,"1922",71,293.7,42.8
"15",33.9281,-117.6211,317.3,2007-01-07,"1922",77,293.9,68.6
"16",33.934,-117.6475,321.6,2007-01-07,"1922",81,294,88.4
"17",39.2532,-122.0759,300.9,2007-01-08,"1826",40,285.6,23.8
"18",34.6029,-117.3372,301.6,2007-01-08,"1827",48,289.1,4.8
"19",40.4431,-121.8176,300.6,2007-01-09,"1908",40,283.8,6.1
"20",39.1501,-122.1414,308,2007-01-09,"1909",66,286.1,9.4
"21",37.312,-119.6865,319.5,2007-01-10,"1814",79,284.8,94.1
"22",37.3127,-119.6801,325.2,2007-01-10,"1814",84,284.6,116.1
"23",39.2341,-122.2259,315.2,2007-01-11,"1856",76,283.5,16.8
"24",39.2357,-122.2383,434.2,2007-01-11,"1856",100,302.2,593
"25",39.2373,-122.2506,384.7,2007-01-11,"1856",100,290.4,195.5
"26",39.4743,-122.2469,301.1,2007-01-11,"1856",30,282.6,6.1
"27",39.6069,-122.0465,309.4,2007-01-11,"1856",69,280.1,13.4
"28",37.4412,-120.7696,301.2,2007-01-11,"1857",45,282.3,6
"29",36.8086,-121.373,300.8,2007-01-11,"1857",42,283.8,5.7
"30",37.6373,-121.0427,318.8,2007-01-11,"1857",79,282.9,18.7
"31",37.6357,-121.0314,304.9,2007-01-11,"1857",60,282.9,8
"32",37.7698,-120.873,314.6,2007-01-11,"1857",75,282.1,15.4
"33",37.6546,-120.7782,307,2007-01-11,"1857",65,281.5,9.9
"34",37.3968,-121.1661,303.2,2007-01-11,"1857",55,284.9,6.2
"35",37.3468,-120.6933,315.1,2007-01-11,"1857",75,282.3,15.2
"36",37.6715,-121.0871,305.6,2007-01-11,"1857",62,282.3,8.9
"37",37.358,-120.6447,304,2007-01-11,"1857",58,282.3,7.5
"38",36.9126,-118.1769,304,2007-01-11,"1857",22,289.8,7
"39",33.5896,-116.0616,309.8,2007-01-11,"1858",67,290.4,13.7
