"","latitude","longitude","brightness","acq_date","acq_time","confidence","bright_t31","frp"
"1",42.2322,-120.4913,300.8,2014-01-01,"1926",41,277.9,15.1
"2",42.2283,-120.4723,318.5,2014-01-01,"1926",79,278.4,40.3
"3",39.3657,-121.5311,301,2014-01-01,"1927",22,287.7,8.5
"4",39.3547,-121.5348,305.7,2014-01-01,"1927",62,287.8,14.5
"5",39.3584,-121.5533,302.9,2014-01-01,"1927",54,286.5,10.9
"6",42.6411,-120.5392,304.7,2014-01-02,"1831",59,277.8,25
"7",42.6395,-120.5192,328.2,2014-01-02,"1831",85,278.1,79.6
"8",40.0706,-121.7488,302.7,2014-01-03,"0537",50,279.3,25.1
"9",40.059,-121.7416,310.7,2014-01-03,"0537",81,279.4,39
"10",42.2251,-120.4963,312.4,2014-01-03,"1914",72,277.1,18.8
"11",42.2227,-120.4826,304.3,2014-01-03,"1914",59,276.6,11.9
"12",39.1157,-122.1323,325.1,2014-01-03,"1915",83,290.2,26.4
"13",39.1135,-122.1197,318.1,2014-01-03,"1915",78,290.8,18.2
"14",40.5711,-122.0902,307.7,2014-01-03,"1915",66,288.3,9.2
"15",40.0593,-121.7533,334.1,2014-01-03,"1915",89,289,42.1
"16",39.9289,-122.0466,315.7,2014-01-03,"1915",76,287.8,15.6
"17",40.0635,-121.7463,347.2,2014-01-03,"1915",95,290.2,66.4
"18",40.0571,-121.7408,325,2014-01-03,"1915",83,287.3,28.9
"19",39.746,-121.9521,304.9,2014-01-03,"1915",52,287.8,7.6
"20",40.0656,-121.7584,309.5,2014-01-03,"1915",41,286.7,9.5
"21",39.9105,-122.0314,304.8,2014-01-03,"1915",60,289.1,7.1
"22",42.9266,-123.8555,349,2014-01-04,"1957",96,281.6,272.8
"23",42.9231,-123.8644,352.6,2014-01-04,"1957",97,282.8,306.1
"24",42.9338,-123.8844,305.8,2014-01-04,"1957",62,279.5,43.6
"25",42.933,-123.8616,321.9,2014-01-05,"0526",100,278.3,141.5
"26",42.9266,-123.9014,315.1,2014-01-05,"0526",91,278,104.3
"27",42.9376,-123.8589,305.1,2014-01-05,"0526",56,275.6,61.8
"28",42.9212,-123.9064,312.3,2014-01-05,"0526",85,278,90.6
"29",40.8077,-123.8063,313.8,2014-01-05,"0703",83,283.6,94
"30",42.9207,-123.8825,305.8,2014-01-05,"0704",38,279.6,70.8
"31",42.9286,-123.8773,319.2,2014-01-05,"0704",98,280.6,141.5
"32",42.9348,-123.8695,350.4,2014-01-05,"1902",96,288.4,84.2
"33",40.808,-123.8,321.2,2014-01-05,"1902",81,288.5,23.9
"34",42.8912,-123.8342,300.3,2014-01-05,"1902",33,281.8,7.6
"35",42.9331,-123.8554,323.9,2014-01-05,"1902",81,284.4,29.5
"36",42.9252,-123.8715,336.5,2014-01-05,"1902",90,286.9,48.7
"37",42.9234,-123.8566,344.3,2014-01-05,"1902",94,286.3,64.7
"38",42.5458,-124.2041,336.1,2014-01-05,"1902",90,291.4,49.7
"39",40.8096,-123.8132,306.7,2014-01-05,"1902",64,288.2,9.3
"40",40.8064,-123.787,311.1,2014-01-05,"1902",71,286,13.5
"41",42.9217,-123.8421,347.3,2014-01-05,"1902",95,285.6,73.5
"42",42.8996,-123.9069,329.8,2014-01-05,"1902",86,286.1,39.1
"43",42.9365,-123.8843,317.8,2014-01-05,"1902",78,285.4,22.4
"44",42.8899,-123.9085,304.6,2014-01-05,"1902",59,285,10.5
"45",42.5361,-124.2068,362.2,2014-01-05,"1902",100,288.7,122.2
"46",40.0655,-121.7591,330.9,2014-01-05,"1903",87,290,28.7
"47",40.0638,-121.7474,309.2,2014-01-05,"1903",52,287.9,8.6
"48",40.0566,-121.7611,353.5,2014-01-05,"1903",97,293.1,69.1
"49",40.051,-121.7865,315.9,2014-01-05,"1903",76,292.2,13.5
"50",40.0582,-121.7728,351.7,2014-01-05,"1903",97,293,64.4
"51",40.0493,-121.7749,330.4,2014-01-05,"1903",87,291.3,28.5
"52",42.1916,-120.0644,322,2014-01-07,"1850",0,266.9,28.2
"53",39.3459,-122.2409,301.8,2014-01-07,"1850",48,285.6,5.3
"54",39.9993,-122.0904,304.4,2014-01-07,"1850",55,286.7,9
"55",39.5361,-122.0521,325.2,2014-01-09,"1838",84,285.7,55.8
"56",39.5379,-122.0728,334.4,2014-01-09,"1838",89,286.5,83
