"","latitude","longitude","brightness","acq_date","acq_time","confidence","bright_t31","frp"
"1",34.7846,-118.4242,301.5,2012-01-02,"1851",37,289.6,2.2
"2",41.0247,-116.123,326.1,2012-01-04,"1837",84,281.1,27.4
"3",41.0263,-116.135,313.1,2012-01-04,"1837",73,283,14.1
"4",39.7302,-122.2703,304,2012-01-04,"1838",58,286.1,15.7
"5",40.3331,-123.4313,305.1,2012-01-05,"1921",57,281.2,10.9
"6",38.4427,-122.4067,300.4,2012-01-05,"1921",36,287.8,6.1
"7",38.4407,-121.9785,300.5,2012-01-07,"1909",37,278.4,5.4
"8",42.3787,-124.3296,304.5,2012-01-09,"1856",59,274.2,15.6
"9",42.3768,-124.3108,321.6,2012-01-09,"1856",81,274,38.3
"10",37.6419,-120.6946,303.7,2012-01-09,"1857",54,286.7,5.5
"11",42.0365,-121.327,301.8,2012-01-10,"1938",49,279.6,23
"12",39.5832,-122.1878,309.7,2012-01-11,"1844",69,287,16.6
"13",39.5786,-122.1772,324.2,2012-01-11,"1844",83,287.4,38.6
"14",39.2647,-121.6382,300.5,2012-01-11,"1844",38,285.5,7.6
"15",39.6052,-122.08,305.7,2012-01-11,"1844",62,287.6,12.9
"16",39.5923,-122.1688,302.2,2012-01-11,"1844",48,286.1,8.2
"17",39.5815,-122.1706,327,2012-01-11,"1844",85,287.2,45
"18",39.1472,-121.8502,305.3,2012-01-11,"1844",53,287.6,10.5
"19",36.1235,-118.5473,311.2,2012-01-11,"1845",71,272.8,14.9
"20",42.3388,-120.5295,303.9,2012-01-12,"0549",58,265.2,14.3
"21",41.6673,-123.2876,311.3,2012-01-12,"1926",71,278.6,19.1
"22",42.1639,-124.2384,303.8,2012-01-12,"1926",57,284.5,9.3
"23",42.1661,-124.2511,308.1,2012-01-12,"1926",67,283.8,12.5
"24",40.1084,-122.4052,312.8,2012-01-12,"1927",73,290.2,19.9
"25",39.4186,-122.2317,379.8,2012-01-12,"1927",100,294.9,278.4
"26",39.4219,-122.2486,328.1,2012-01-12,"1927",85,291.4,48.6
"27",40.1115,-122.4214,310.4,2012-01-12,"1927",70,290.2,16.9
"28",38.8874,-121.7435,315.9,2012-01-12,"1927",76,289,27.4
"29",38.9021,-121.7581,320,2012-01-12,"1927",80,289.5,36.2
"30",38.8911,-121.7618,344,2012-01-12,"1927",93,290.4,102.4
"31",34.8229,-118.2904,314.6,2012-01-12,"1928",75,291.8,66.7
"32",34.0929,-117.5282,308.8,2012-01-13,"1833",65,296.3,5.8
"33",41.6574,-123.2794,302.1,2012-01-14,"1914",23,280.5,7.1
"34",41.6681,-123.289,306.9,2012-01-14,"1914",59,281.9,10.4
"35",41.6592,-123.2912,309.2,2012-01-14,"1914",52,283.6,11.5
"36",41.6663,-123.2772,316.7,2012-01-14,"1914",77,283.1,17.8
"37",40.7562,-122.837,322.5,2012-01-16,"1902",62,273.5,24.5
"38",39.9714,-122.0121,309,2012-01-16,"1902",68,282.2,11
"39",40.7653,-122.8348,323.2,2012-01-16,"1902",68,273.8,25.5
"40",40.7487,-122.8514,312,2012-01-16,"1902",29,274.3,14.5
"41",39.5292,-122.2778,302.1,2012-01-16,"1902",50,283.9,6.4
"42",39.973,-122.0237,302.3,2012-01-16,"1902",52,282.7,6.8
"43",41.0163,-121.3158,302.8,2012-01-16,"1902",54,277.9,8.3
"44",37.6428,-120.789,305.1,2012-01-16,"1903",61,282.8,8.4
"45",37.56,-120.7921,301.9,2012-01-16,"1903",49,284.4,6.3
"46",37.5618,-120.8035,309.1,2012-01-16,"1903",68,284.5,10.7
"47",37.7526,-120.9575,315,2012-01-16,"1903",71,284.1,15.1
"48",35.6527,-120.7516,303.6,2012-01-16,"1903",56,283.5,8.2
"49",37.765,-121.0959,301,2012-01-16,"1903",43,284.1,5.3
"50",37.876,-121.215,302.5,2012-01-16,"1903",52,286.8,5.6
"51",37.3884,-120.6496,303.4,2012-01-16,"1903",56,283.3,6.8
"52",37.4894,-120.6425,302,2012-01-16,"1903",50,282.2,6.8
"53",37.5293,-120.7163,305.9,2012-01-16,"1903",62,281.9,9.6
"54",37.5565,-120.947,303.6,2012-01-16,"1903",56,284.5,6.7
"55",38.3164,-122.899,306.3,2012-01-16,"1903",63,285.6,9
"56",38.396,-122.3508,304.2,2012-01-16,"1903",58,283.5,8.1
"57",38.4219,-122.4035,303.4,2012-01-16,"1903",56,282.7,7.9
"58",38.53,-121.6877,302.3,2012-01-16,"1903",51,284.2,6.3
