"","latitude","longitude","brightness","acq_date","acq_time","confidence","bright_t31","frp"
"1",36.4911,-121.3633,300.5,"1/3/2019",1903,38,286.6,4.8
"2",39.5412,-118.5607,300.6,"1/3/2019",1903,40,278.4,7.6
"3",38.7049,-122.0142,302.6,"1/3/2019",1903,53,284.3,6.7
"4",38.4728,-122.391,306.8,"1/3/2019",1903,64,283.6,9.6
"5",38.4712,-122.3796,309,"1/3/2019",1903,68,284.4,11
"6",37.8169,-121.1405,301.9,"1/3/2019",1903,50,281.7,6.9
"7",36.9212,-118.192,308.8,"1/3/2019",1903,64,283.4,13.7
"8",34.5904,-120.0459,303.9,"1/3/2019",1904,36,289,6.7
"9",34.6165,-120.3166,301.1,"1/3/2019",1904,39,289.5,5
"10",34.4049,-119.5072,300.1,"1/3/2019",1904,16,290,3.4
"11",35.7342,-121.2735,313.3,"1/4/2019",1946,44,284.6,103.4
"12",35.7287,-121.2792,312,"1/4/2019",1946,39,285.3,91.8
"13",36.1424,-119.0025,302.7,"1/7/2019",1839,50,283.6,5.9
"14",35.4562,-119.306,309.7,"1/7/2019",1839,69,289.4,10.6
"15",34.0912,-117.5342,301,"1/7/2019",1839,43,287.9,3.3
"16",33.5417,-116.1864,315.4,"1/7/2019",1840,76,285.5,13.5
"17",36.6337,-120.5128,300.6,"1/9/2019",625,16,283,11.9
"18",34.0959,-117.5324,304.2,"1/9/2019",1827,58,292.4,5.4
"19",33.5458,-116.1872,320.8,"1/9/2019",1827,80,294.9,18.2
"20",42.4564,-122.9817,321.5,"1/10/2019",1908,81,281.8,22.7
"21",42.4547,-122.9696,322.3,"1/10/2019",1908,82,281.4,23.4
"22",38.9439,-122.7713,305.1,"1/10/2019",1909,60,280.8,8.9
"23",36.6703,-120.6659,306.4,"1/10/2019",1909,63,288,8.4
"24",36.668,-120.6529,307,"1/10/2019",1909,65,287.9,8.8
"25",36.6657,-120.6594,313.9,"1/10/2019",1909,74,288.7,16
"26",39.5392,-118.5707,300.6,"1/12/2019",1856,39,281.8,6.3
"27",39.5373,-118.559,307.4,"1/12/2019",1856,65,282,10.3
"28",38.7499,-120.9012,304.8,"1/12/2019",1857,60,285.1,8.2
"29",38.2689,-120.4427,308,"1/12/2019",1857,66,281.7,11.4
"30",38.4595,-122.5777,301.4,"1/12/2019",1857,47,284.8,7
"31",37.7738,-120.9761,303.2,"1/12/2019",1857,55,284.9,6.6
"32",37.7486,-120.9933,301.5,"1/12/2019",1857,47,285.2,5.7
"33",37.747,-120.982,317.8,"1/12/2019",1857,78,285.8,17.3
"34",36.817,-120.1213,304.5,"1/12/2019",1857,59,286.7,6.6
"35",36.7292,-119.9693,314.2,"1/12/2019",1857,74,286.6,13.5
"36",36.5995,-119.9083,315.4,"1/12/2019",1857,76,287.4,14
"37",36.5978,-119.8972,309.4,"1/12/2019",1857,68,287.4,9.3
"38",36.5408,-120.0084,309,"1/12/2019",1857,68,287.5,9.6
"39",36.5391,-119.9973,304.8,"1/12/2019",1857,60,286.8,6.8
"40",36.4411,-119.6043,304.3,"1/12/2019",1857,58,283.7,7.8
"41",35.5672,-119.2344,312.7,"1/12/2019",1857,25,288.2,12.7
"42",35.5654,-119.2229,357.6,"1/12/2019",1857,99,290,87.6
"43",35.5142,-119.1994,304,"1/12/2019",1857,38,286.8,5.3
"44",42.4623,-124.3896,319.3,"1/13/2019",1939,69,285.3,32.5
"45",42.5462,-124.353,368.3,"1/14/2019",1843,75,287.6,356.7
"46",42.5441,-124.3225,337.7,"1/14/2019",1843,91,284,133.7
"47",42.5478,-124.3588,351.4,"1/14/2019",1843,73,286.4,213.6
"48",42.5455,-124.3287,348.1,"1/14/2019",1843,95,285.5,191.1
"49",35.1211,-118.9906,307.3,"1/16/2019",1833,65,277.5,12.2
"50",36.5316,-120.3082,301.8,"1/19/2019",1903,49,287.6,5.3
"51",36.3788,-120.1191,301.3,"1/19/2019",1903,35,287.5,3.9
"52",36.1722,-120.1092,307.4,"1/19/2019",1903,65,287.9,8.2
"53",35.4982,-119.433,302.2,"1/19/2019",1904,51,287,6.1
"54",35.4942,-119.4273,300.4,"1/19/2019",1904,37,286.7,5.5
"55",35.8511,-119.3431,300.7,"1/21/2019",1851,40,285.8,4.7
"56",34.0935,-117.5265,304.8,"1/21/2019",1852,60,291.6,4.3
