"","latitude","longitude","brightness","acq_date","acq_time","confidence","bright_t31","frp"
"1",38.7157,-120.5316,306.2,2006-01-10,"1843",60,281.4,13.5
"2",37.3036,-119.6811,306.9,2006-01-10,"1843",64,283.4,10.6
"3",33.3618,-116.8208,303.5,2006-01-10,"1844",50,285.6,7.2
"4",34.094,-117.53,304,2006-01-10,"1844",58,292.6,3.2
"5",34.6003,-117.3361,300.9,2006-01-10,"1844",43,287.8,4
"6",34.3664,-119.0572,302.4,2006-01-10,"1844",27,292.4,3.7
"7",34.0958,-117.5346,301.2,2006-01-11,"0546",38,280.3,9.4
"8",37.3023,-119.6903,309.5,2006-01-12,"1831",69,281.1,21.3
"9",37.2988,-119.681,310.3,2006-01-12,"1831",66,282.1,20.7
"10",34.3747,-119.0235,313.8,2006-01-12,"1832",74,289.4,16
"11",34.3782,-118.9668,303.2,2006-01-12,"1832",55,289.1,6.4
"12",33.3469,-116.7945,300.3,2006-01-12,"1832",31,287.3,4.6
"13",34.3896,-119.063,309.3,2006-01-12,"1832",68,289.2,11.1
"14",34.3731,-119.0098,313.6,2006-01-12,"1832",74,289.3,15.7
"15",35.6733,-120.5673,303.9,2006-01-13,"1914",58,287.6,9.5
"16",35.6597,-120.5546,306.4,2006-01-13,"1914",63,288.2,12.1
"17",33.7006,-116.665,328,2006-01-14,"1819",85,287.1,45.3
"18",37.3162,-120.6857,300.6,2006-01-17,"1849",39,278.5,7
"19",34.9248,-119.533,317.8,2006-01-17,"1850",78,287.5,15.2
"20",34.6048,-117.3361,302.2,2006-01-17,"1850",51,288.1,5
"21",33.3478,-116.8094,306.3,2006-01-17,"1850",61,287.3,11.3
"22",33.3456,-116.7969,309.7,2006-01-17,"1850",67,287.3,14.2
"23",34.0905,-117.531,303.7,2006-01-19,"1838",57,290.8,3.9
"24",33.4459,-117.3403,301.5,2006-01-19,"1838",43,287.2,4.9
"25",34.0948,-117.5298,303.3,2006-01-21,"1825",56,290.6,5.5
"26",34.154,-117.6708,303,2006-01-23,"0610",53,281.9,11.5
"27",34.1752,-117.1153,308.4,2006-01-24,"0515",74,279.9,64.2
"28",34.1674,-117.1491,300.4,2006-01-24,"0515",27,280.5,38.8
"29",42.3617,-123.2837,309.1,2006-01-24,"1854",68,280.1,17.5
"30",34.2461,-118.6964,305.7,2006-01-24,"1856",61,291.7,6.2
"31",34.2482,-118.7083,310.9,2006-01-24,"1856",70,292.4,10.6
"32",34.0928,-117.5309,308.6,2006-01-24,"1856",66,294.6,8.1
"33",36.6161,-119.4571,303.7,2006-01-24,"1856",57,286.9,6.3
"34",35.6453,-120.4134,304.6,2006-01-24,"1856",59,291,5
"35",34.9333,-119.537,317.3,2006-01-24,"1856",77,292.8,13.9
"36",34.9315,-119.5258,317,2006-01-24,"1856",77,292.5,13.9
"37",34.0915,-117.5338,300,2006-01-25,"0558",8,279.6,7.4
"38",34.3595,-118.9806,304.1,2006-01-26,"1844",36,284.8,5.6
"39",34.3072,-119.1318,316.7,2006-01-26,"1844",77,290.7,14.2
"40",35.5429,-119.1789,313.5,2006-01-27,"1926",59,282.4,54.4
"41",35.54,-119.1852,312.5,2006-01-27,"1926",73,283.4,53.6
"42",35.1209,-119.0785,309,2006-01-28,"1831",67,289.4,10
"43",35.1178,-119.0724,314,2006-01-28,"1831",74,289.6,15.9
"44",33.361,-116.8323,306,2006-01-30,"1820",48,289.8,11.8
"45",35.8247,-119.2392,301.7,2006-01-31,"1902",46,286.4,5.5
"46",33.7048,-116.6763,304.1,2006-02-02,"1850",58,281.1,8.4
"47",34.0938,-117.5311,311,2006-02-04,"1838",71,290.5,7.9
"48",36.4955,-119.6665,302.9,2006-02-05,"1920",54,289.2,10.8
"49",36.493,-119.6739,303.6,2006-02-05,"1920",57,289.5,13.1
"50",36.2816,-119.1797,301.4,2006-02-05,"1920",46,289.7,10.5
