"","latitude","longitude","brightness","acq_date","acq_time","confidence","bright_t31","frp"
"1",35.914,-120.8964,300.4,2016-01-02,"1910",35,283.7,6.5
"2",35.1217,-118.924,310.7,2016-01-04,"1858",70,290.1,9.4
"3",35.1197,-118.9122,305.9,2016-01-04,"1858",62,290.8,5.9
"4",34.0978,-117.5333,300.7,2016-01-08,"1834",41,287.6,4.2
"5",36.1572,-119.1492,300.5,2016-01-11,"1904",38,279.6,7.7
"6",37.1491,-120.3906,316.4,2016-01-13,"1851",77,286.8,16.4
"7",33.6482,-117.4471,309.2,2016-01-13,"1852",68,284.3,14.1
"8",33.6461,-117.4345,314.4,2016-01-13,"1852",75,282.6,18.9
"9",36.3877,-119.8103,300.6,2016-01-15,"1839",39,287.1,5.3
"10",36.2836,-119.1181,305,2016-01-15,"1839",60,287,8.7
"11",36.1348,-119.049,309.8,2016-01-15,"1839",69,286.9,11.8
"12",36.1363,-119.0616,321.5,2016-01-15,"1839",81,286.4,23.8
"13",36.245,-120.1819,301.2,2016-01-18,"1910",45,289.6,4.8
"14",33.3412,-116.7872,306.8,2016-01-19,"1815",63,286.1,17.7
"15",37.4559,-117.5162,300.1,2016-01-20,"1857",24,278.6,9.1
"16",34.0878,-117.7579,301.7,2016-01-20,"1858",43,289.3,4.4
"17",35.3529,-120.0614,300.2,2016-01-20,"1858",18,288,3.3
"18",34.8092,-120.4194,302.5,2016-01-25,"1916",52,289.6,9.2
"19",34.809,-120.4253,304.3,2016-01-25,"1916",59,289.7,11.8
"20",37.5517,-118.7021,300.3,2016-01-25,"1916",20,269.8,18.6
"21",39.4752,-121.1756,305.6,2016-01-28,"0608",65,278,10.8
"22",39.4736,-121.187,305.1,2016-01-28,"0608",63,279.1,10.5
"23",33.444,-116.0781,306.7,2016-01-29,"1852",50,294.5,6.1
"24",35.5151,-120.4688,307.5,2016-01-29,"1852",66,283.9,8.3
"25",35.5135,-120.4577,301.8,2016-01-29,"1852",49,283.5,4.8
"26",34.3574,-118.9438,309,2016-01-29,"1852",59,293.8,5.8
"27",34.3591,-118.9546,305.1,2016-01-29,"1852",36,293.2,3.4
"28",37.4128,-120.4871,306.6,2016-02-01,"1922",64,283,21.7
"29",37.6872,-120.9243,301.6,2016-02-01,"1922",48,284.1,12.2
"30",37.4166,-120.5058,302.6,2016-02-01,"1922",53,282.7,16.3
"31",36.8131,-120.2179,322.7,2016-02-03,"1910",82,284.8,29.3
"32",36.8155,-120.2314,321,2016-02-03,"1910",81,284.3,26.6
"33",42.6926,-120.7583,308.5,2016-02-05,"0520",75,267,67
"34",42.6945,-120.7641,312.1,2016-02-05,"0520",84,267,79.5
"35",39.5824,-122.2837,300.3,2016-02-05,"1857",35,278.7,6.9
"36",34.2201,-119.2175,308.3,2016-02-05,"1858",61,294.5,6.1
