"","latitude","longitude","brightness","acq_date","acq_time","confidence","bright_t31","frp"
"1",34.6033,-118.3848,305.8,2011-01-06,"1857",54,279.1,12.8
"2",39.8467,-121.521,308.2,2011-01-07,"0601",74,277.9,13.5
"3",34.0919,-117.5317,302.5,2011-01-10,"1833",53,288.8,4.6
"4",40.3623,-122.9568,312.6,2011-01-18,"1920",73,281.3,16.4
"5",40.3633,-122.9572,301.3,2011-01-20,"1908",45,285.5,5.8
"6",40.3616,-122.9456,302.6,2011-01-20,"1908",51,285.8,6.4
"7",40.5172,-122.558,316.4,2011-01-20,"1908",67,286.7,15.6
"8",35.6529,-120.7465,306.6,2011-01-22,"1857",64,289.6,7.3
"9",39.6624,-121.2156,340.2,2011-01-25,"1926",92,286.5,96.6
"10",39.6604,-121.2025,357.6,2011-01-25,"1926",99,289.3,174.2
"11",39.6566,-121.1835,315.6,2011-01-25,"1926",76,284.9,32.6
"12",39.6586,-121.1972,365.6,2011-01-25,"1926",100,288.4,221.7
"13",39.6641,-121.2209,304.7,2011-01-25,"1926",45,285.6,14.7
"14",38.2448,-122.0889,302,2011-01-25,"1927",43,285.9,8.7
"15",36.5848,-121.4678,303.3,2011-01-25,"1927",54,292.4,9.8
"16",42.4193,-123.5734,302.7,2011-01-27,"1913",53,282.5,8.1
"17",42.4175,-123.5614,300.1,2011-01-27,"1913",24,280.2,6.8
"18",42.1829,-124.2367,382.2,2011-01-27,"1914",100,292.1,164.2
"19",42.1812,-124.2247,396.3,2011-01-27,"1914",100,293.4,233.9
"20",42.1918,-124.2344,418,2011-01-27,"1914",100,302.7,381.9
"21",40.1053,-122.3989,303.9,2011-01-27,"1914",57,289.6,6.7
"22",40.1114,-122.3908,313.1,2011-01-27,"1914",73,289.8,12.9
"23",42.1901,-124.2224,438.6,2011-01-27,"1914",100,309.9,578.9
"24",34.5322,-117.9645,303.6,2011-01-28,"1820",51,291.5,6.9
"25",33.5724,-116.0111,313.2,2011-01-28,"1820",64,297.4,9.7
"26",42.2108,-121.5741,300,2011-01-28,"1956",22,279.8,43.6
"27",33.5749,-116.0196,308.6,2011-01-31,"1851",58,295.6,6.3
"28",33.5724,-116.0057,308.8,2011-01-31,"1851",57,296.8,6
"29",34.4581,-119.2172,303,2011-02-04,"1826",54,289.8,7.9
"30",34.3753,-118.96,312,2011-02-04,"1827",72,291.6,18.3
