"","latitude","longitude","brightness","acq_date","acq_time","confidence","bright_t31","frp"
"1",38.1136,-120.217,301.8,2008-01-02,"1832",49,283,14.4
"2",36.8785,-119.6931,309.8,2008-01-02,"1833",65,272.5,21.1
"3",35.4872,-120.2223,312.7,2008-01-02,"1833",73,282.5,21.1
"4",35.4855,-120.2055,304.5,2008-01-02,"1833",59,284.5,10.5
"5",37.3254,-120.6686,300.9,2008-01-07,"1851",42,283.5,6
"6",37.0624,-119.2879,308.3,2008-01-08,"0554",74,270.7,14.9
"7",34.3133,-118.8796,313.9,2008-01-09,"1839",74,286.1,13.9
"8",34.306,-118.8752,304.5,2008-01-09,"1839",59,287.7,6.9
"9",34.3076,-118.8867,300.4,2008-01-09,"1839",36,287,4.3
"10",33.4456,-116.0946,303.5,2008-01-09,"1839",53,290.1,4.9
"11",33.4439,-116.0837,308.4,2008-01-09,"1839",58,290,8
"12",33.5754,-116.0789,306.9,2008-01-11,"1827",61,291.5,6.4
"13",33.5739,-116.0673,311.2,2008-01-11,"1827",62,292.3,9.9
"14",34.0925,-117.5309,304.6,2008-01-11,"1827",59,290.6,6.3
"15",36.3109,-121.0485,306.4,2008-01-12,"1909",63,284.4,9.3
"16",36.8814,-120.1593,314.5,2008-01-14,"1857",75,285.9,14
"17",36.8797,-120.1482,300.9,2008-01-14,"1857",43,286.2,5
"18",36.3544,-120.3414,300.7,2008-01-14,"1857",40,288.3,4
"19",36.3527,-120.3304,307.6,2008-01-14,"1857",66,287.3,8.1
"20",35.532,-119.6422,303.2,2008-01-14,"1857",55,287.2,5.5
"21",33.632,-116.1173,311.2,2008-01-14,"1858",70,295.2,14.8
"22",34.9172,-119.5303,317.2,2008-01-16,"1845",73,284.3,15.4
"23",34.9157,-119.5192,313.6,2008-01-16,"1845",74,285.2,12.3
"24",34.6055,-117.3365,300.1,2008-01-16,"1845",29,286.3,3.9
"25",42.1705,-124.2545,315.1,2008-01-17,"1926",75,285.5,18.2
"26",42.1683,-124.2418,305.9,2008-01-17,"1926",62,284.3,10.7
"27",34.9121,-119.5262,324.1,2008-01-18,"1833",83,288.2,32.7
"28",34.944,-119.561,302.2,2008-01-18,"1833",24,287.8,3.9
"29",34.0945,-117.5315,302.4,2008-01-20,"1821",52,289.5,6.4
"30",36.6163,-119.3969,312.1,2008-01-21,"1903",72,285.8,14.2
"31",36.6185,-119.4096,319.7,2008-01-21,"1903",79,286.8,22
"32",36.6041,-119.6941,327.1,2008-01-21,"1903",85,286.2,29.1
"33",36.5948,-119.6965,322.7,2008-01-21,"1903",82,286.1,24.4
"34",36.5927,-119.6842,302.8,2008-01-21,"1903",54,285.2,5.7
"35",36.4829,-119.7572,303.7,2008-01-21,"1903",57,285.3,7.3
"36",36.8626,-120.1834,304.9,2008-01-21,"1903",60,284.7,7.5
"37",36.9859,-120.195,305.7,2008-01-21,"1903",62,284.7,7.4
"38",36.984,-120.1831,302,2008-01-21,"1903",50,284.6,5.7
"39",36.982,-120.1712,316.2,2008-01-21,"1903",76,285.1,16.5
"40",36.6591,-119.5304,305.5,2008-01-21,"1903",62,285.4,8.6
"41",35.0418,-118.9774,303.9,2008-01-21,"1904",57,290.3,6.3
"42",35.0433,-118.9836,304.7,2008-01-21,"1904",59,289.5,7
"43",41.4563,-123.9143,341.2,2008-01-23,"1850",92,280,99.6
"44",41.4569,-123.9203,330.3,2008-01-23,"1850",87,279.7,66.3
"45",42.1652,-124.2225,315.5,2008-01-23,"1850",76,280,36.2
"46",42.167,-124.2428,341.8,2008-01-23,"1850",93,281.9,109.6
"47",41.4551,-123.9021,303.5,2008-01-23,"1850",56,279,17.9
"48",42.1388,-124.1874,303,2008-01-23,"1850",54,280,17.3
"49",33.4578,-116.109,308.4,2008-01-23,"1852",67,292.3,9.6
"50",33.4553,-116.0949,309.2,2008-01-23,"1852",68,291.5,10.2
"51",33.4543,-116.0991,315.9,2008-01-25,"1839",76,292.4,12
"52",33.4385,-116.099,301.5,2008-01-29,"1815",47,288.1,7.4
"53",36.853,-118.1451,304.4,2008-01-30,"1857",59,279,9.4
"54",37.3952,-120.8101,302.8,2008-01-30,"1857",54,283.1,6.9
"55",33.4491,-116.1049,302.1,2008-01-30,"1858",51,287.4,8.6
"56",33.4475,-116.0979,301,2008-01-31,"1803",44,288.4,12.5
"57",34.0905,-117.5338,307.6,2008-02-01,"1845",66,289.2,6.2
"58",33.4483,-116.0945,303.4,2008-02-01,"1846",53,290.6,4.6
"59",33.4571,-116.0991,307.2,2008-02-05,"1821",65,290.3,8.3
"60",39.1202,-119.2203,300.6,2008-02-06,"1903",40,273.2,6.6
"61",39.1181,-119.2079,301.3,2008-02-06,"1903",46,274.2,7.2
"62",36.5714,-119.3679,305.3,2008-02-06,"1903",61,283.9,8.9
"63",36.6872,-119.6719,317.8,2008-02-06,"1903",78,284.4,19.7
"64",36.9585,-120.8653,307.9,2008-02-06,"1903",66,285.3,8.2
"65",33.4524,-116.0997,306.9,2008-02-06,"1904",59,291.4,15.1
"66",33.4465,-116.0855,304.8,2008-02-06,"1904",56,291.2,12.2
"67",34.3874,-119.4619,302.7,2008-02-06,"1904",38,285.6,7.8
"68",35.3569,-118.9816,302.1,2008-02-06,"1904",44,285,5.8
"69",34.414,-118.8001,307.5,2008-02-06,"1904",65,286.9,12.6
"70",39.6857,-121.9253,306.8,2008-02-08,"1850",56,280.5,12.1
"71",38.3481,-120.7298,302.2,2008-02-08,"1851",51,283.3,6.8
"72",33.448,-116.098,323.3,2008-02-08,"1852",81,296.7,25.7
"73",37.5652,-120.8858,302,2008-02-09,"1934",50,288.7,15.6
"74",36.5557,-120.8646,305.1,2008-02-10,"1839",50,290.3,8.2
"75",36.6002,-121.3778,315.5,2008-02-12,"1826",76,295.8,39.7
"76",36.9792,-120.8778,304.2,2008-02-13,"1909",58,284.6,6.4
"77",36.977,-120.8651,335.4,2008-02-13,"1909",89,284.4,44.1
"78",37.5878,-120.8034,301.7,2008-02-13,"1909",48,280,6.5
"79",35.4443,-120.4971,306.2,2008-02-13,"1910",58,290.2,8.2
"80",33.6349,-116.6402,304.2,2008-02-13,"1910",43,290.5,22.9
"81",42.6177,-118.486,303.2,2008-02-15,"1855",55,281.4,7.5
"82",39.5103,-121.4205,313.8,2008-02-15,"1856",74,287.2,14.4
"83",39.6922,-122.257,306.4,2008-02-15,"1856",63,288.5,7.9
"84",36.5688,-119.3805,303.9,2008-02-15,"1857",56,289.8,4.6
"85",35.1387,-119.3068,314.8,2008-02-15,"1857",73,299,8.5
"86",36.244,-119.2641,311.4,2008-02-15,"1857",71,291.8,9.2
"87",36.5706,-119.3919,305.1,2008-02-15,"1857",61,290,5.3
"88",36.2458,-119.2755,305.2,2008-02-15,"1857",59,291.7,5
