"","latitude","longitude","brightness","acq_date","acq_time","confidence","bright_t31","frp"
"1",42.7263,-123.3784,309.4,2005-01-05,"1855",69,275,19.4
"2",42.724,-123.3733,317.7,2005-01-05,"1855",78,274.9,29.1
"3",40.8962,-123.9151,311.8,2005-01-06,"1938",51,279.1,30.1
"4",34.0905,-117.5281,308.3,2005-01-14,"1851",67,290.3,8.1
"5",34.0935,-117.5308,304.1,2005-01-15,"0553",59,279.1,10.1
"6",34.0905,-117.531,300.1,2005-01-20,"0611",19,282.9,8.9
"7",33.3553,-117.0203,317,2005-01-21,"1857",77,289,25
"8",34.0935,-117.5376,303.7,2005-01-22,"0559",56,281.9,8.9
"9",38.4061,-120.6903,308.6,2005-01-23,"1844",67,289.5,11.7
"10",37.4793,-119.784,301.6,2005-01-23,"1844",48,288.2,5.6
"11",34.0911,-117.534,301.5,2005-01-24,"0546",42,282.8,8.2
"12",34.968,-119.8889,304.4,2005-01-25,"1832",59,288.1,10.3
"13",34.091,-117.5246,306.2,2005-01-30,"1851",63,290.8,5.7
"14",34.093,-117.5365,309,2005-01-30,"1851",68,291.3,7.8
"15",33.7311,-116.8794,302.8,2005-02-01,"1839",54,287.2,4.8
"16",42.6988,-120.6365,318.7,2005-02-02,"1919",42,279,26.2
"17",42.688,-120.6311,324,2005-02-02,"1919",65,278,33.9
"18",42.6442,-120.5651,325.7,2005-02-02,"1919",84,280.5,39.9
"19",35.2727,-119.4755,301.5,2005-02-02,"1921",48,289.1,13.9
"20",42.7008,-120.6183,305.2,2005-02-03,"1824",61,279.7,34.5
"21",37.4673,-118.4038,302.2,2005-02-03,"1825",41,286.6,5.3
"22",35.2131,-120.4108,304.1,2005-02-04,"1909",58,291,8.1
"23",34.8445,-120.359,310.6,2005-02-08,"1844",70,289.3,11.2
"24",34.6072,-117.3376,304.1,2005-02-08,"1844",57,289.4,5.1
"25",35.5856,-119.5677,303.2,2005-02-08,"1844",55,286,4.8
"26",35.584,-119.5563,303.2,2005-02-08,"1844",55,285.7,4.9
"27",36.1558,-119.0256,303.4,2005-02-08,"1844",56,271.1,8.6
"28",35.3044,-119.1966,302.7,2005-02-08,"1844",53,287.3,4.6
"29",34.2885,-119.1757,328.1,2005-02-08,"1845",85,291.5,25.2
"30",34.1258,-116.9848,309.1,2005-02-08,"1845",68,281.3,13
"31",34.0919,-117.5337,304.3,2005-02-08,"1845",33,292.3,4
"32",34.0947,-117.5295,301.4,2005-02-09,"0546",40,281.4,9.3
"33",41.4408,-122.3448,334.5,2005-02-09,"1926",89,272.8,60.6
"34",40.2503,-123.954,303.1,2005-02-09,"1926",55,282.2,10.8
"35",37.038,-119.3914,310.1,2005-02-10,"1832",61,286.3,16.7
"36",37.0256,-119.3769,307.9,2005-02-10,"1832",65,284.8,14.4
"37",37.0275,-119.3947,313.3,2005-02-10,"1832",73,286.5,21.2
"38",42.4663,-122.9993,302.3,2005-02-11,"1913",51,283.2,6.7
"39",42.3319,-123.583,319.2,2005-02-11,"1913",79,280.3,20.1
"40",42.3408,-123.5806,305.4,2005-02-11,"1913",57,280.5,9
"41",41.9483,-124.1215,333.1,2005-02-11,"1913",88,285.9,35.2
"42",41.9394,-124.1238,302.4,2005-02-11,"1913",52,285.6,6.7
"43",39.6107,-122.6555,329.9,2005-02-11,"1914",86,281.3,32.5
"44",39.6087,-122.6433,322.2,2005-02-11,"1914",81,282.1,22.7
"45",39.5997,-122.6461,303.4,2005-02-11,"1914",43,279.4,7.2
"46",39.6017,-122.6585,324.3,2005-02-11,"1914",83,278.2,26.1
"47",42.2729,-123.0592,302.7,2005-02-18,"1919",53,284.1,7.4
"48",42.299,-122.9975,306,2005-02-22,"1855",63,283.7,12
"49",42.2974,-122.9825,300.8,2005-02-22,"1855",42,284.1,7.7
"50",38.7677,-120.9236,300.2,2005-02-22,"1856",33,287.8,4.3
"51",42.2972,-122.9812,308.9,2005-02-23,"1937",68,286.3,20.4
"52",42.3003,-122.9866,302.5,2005-02-23,"1937",53,286.1,13.4
"53",42.6771,-120.5915,303.9,2005-02-24,"1842",52,285.6,11.4
"54",42.6754,-120.5751,309.5,2005-02-24,"1842",69,283.1,16.2
"55",42.2147,-121.5203,316.9,2005-02-24,"1842",67,284.5,30.4
"56",42.2164,-121.5374,319.7,2005-02-24,"1842",80,282.9,35
"57",36.2372,-119.109,316.3,2005-02-24,"1844",77,288.7,14.6
"58",36.7135,-119.4442,305.2,2005-02-24,"1844",61,289.5,6.3
"59",36.715,-119.4559,301.5,2005-02-24,"1844",43,288.6,3.7
"60",42.2151,-121.5374,300.5,2005-02-25,"1925",35,283.5,8.4
"61",42.6623,-120.5945,311.5,2005-02-25,"1925",71,279.5,24.4
"62",42.661,-120.6015,305,2005-02-25,"1925",60,279.1,17.7
"63",42.7609,-122.6186,309.2,2005-02-26,"1830",33,283.8,38.6
"64",42.7586,-122.6596,318.5,2005-02-26,"1830",79,284.8,75.5
"65",42.7567,-122.627,319.2,2005-02-26,"1830",79,284.6,79.1
"66",42.7628,-122.6527,328.3,2005-02-26,"1830",86,285.2,111.5
