"","latitude","longitude","brightness","acq_date","acq_time","confidence","bright_t31","frp"
"1",35.0519,-118.4831,301.2,2009-01-01,"0600",38,272.4,9.2
"2",36.6105,-120.1049,303.8,2009-01-03,"1928",57,282.1,24.7
"3",36.6049,-120.0796,301.2,2009-01-03,"1928",45,281.6,19.6
"4",36.6405,-120.6751,309.9,2009-01-03,"1928",69,285.3,32.1
"5",36.6353,-120.6509,306.9,2009-01-03,"1928",64,285.3,26.2
"6",34.0268,-118.0208,300.7,2009-01-04,"1834",32,286.4,4.5
"7",34.3445,-119.0987,300.9,2009-01-06,"1822",43,278.8,15.3
"8",33.782,-116.756,301.3,2009-01-06,"1822",44,274.2,11.3
"9",33.7837,-116.7721,300,2009-01-06,"1822",15,275.5,9.8
"10",33.5596,-116.0557,301.9,2009-01-06,"1822",43,280.7,6.8
"11",33.558,-116.0422,312.3,2009-01-06,"1822",72,279.5,16.4
"12",41.7024,-122.9054,304.9,2009-01-07,"1903",60,273.6,12
"13",41.2095,-120.3846,305.7,2009-01-07,"1903",0,276.7,10.7
"14",41.2077,-120.3729,308.5,2009-01-07,"1903",63,276.7,12.7
"15",41.6491,-121.2914,300.7,2009-01-07,"1903",30,273.7,7.8
"16",42.3914,-123.0422,306.6,2009-01-07,"1903",64,276,11.9
"17",42.3931,-123.0556,309.6,2009-01-07,"1903",69,277.1,14.1
"18",34.0221,-116.907,305.3,2009-01-07,"1904",61,286.3,16.8
"19",34.3933,-118.8249,310.5,2009-01-07,"1904",70,291.5,13.9
"20",34.3959,-118.8391,311.8,2009-01-07,"1904",72,292,15.1
"21",34.3864,-118.8332,321.5,2009-01-07,"1905",61,290.8,30.2
"22",33.7731,-116.7608,303.5,2009-01-07,"1905",55,284.9,17
"23",42.2313,-123.0101,310.3,2009-01-08,"1945",32,278.3,38.8
"24",42.2306,-123.0148,311.7,2009-01-08,"1945",44,279,39.4
"25",42.1481,-123.085,315.1,2009-01-09,"1850",75,276.1,30.7
"26",42.1464,-123.0683,306.8,2009-01-09,"1850",64,277.6,19.8
"27",36.7987,-120.138,303.5,2009-01-09,"1852",56,285.2,6
"28",35.3826,-120.4868,316,2009-01-09,"1852",76,284,16.5
"29",34.028,-118.0243,300.5,2009-01-09,"1852",22,290,2.7
"30",34.5736,-117.6865,304,2009-01-09,"1852",58,290.1,4
"31",34.3894,-118.8374,311.3,2009-01-09,"1852",71,292.6,10.2
"32",34.3876,-118.8265,306,2009-01-09,"1852",61,291.6,6.7
"33",36.7053,-119.6504,304.4,2009-01-10,"1934",59,284.6,37.9
"34",36.7066,-119.6568,301.1,2009-01-10,"1934",44,284.6,26.5
"35",42.166,-121.2291,328,2009-01-12,"1921",85,277.7,42.3
"36",42.1633,-121.2144,300.7,2009-01-12,"1921",41,276.5,10.6
"37",39.0076,-121.955,349.4,2009-01-12,"1922",96,294.2,91.1
"38",39.0049,-121.9401,318.9,2009-01-12,"1922",79,289.9,24.8
"39",41.2075,-124.0715,305.7,2009-01-13,"1826",47,288.3,53.9
"40",41.0327,-123.9185,303.4,2009-01-13,"1826",56,285.1,47.2
"41",41.2011,-124.0804,303.9,2009-01-13,"1826",0,288.1,50.8
"42",41.0254,-123.929,306.5,2009-01-14,"1909",64,285,9.3
"43",40.3056,-122.6332,302.5,2009-01-14,"1909",52,288.6,4.7
"44",42.8193,-124.3555,312.8,2009-01-14,"1909",73,284.3,15.2
"45",40.3073,-122.6448,303.2,2009-01-14,"1909",55,289.5,5.3
"46",40.0755,-122.6852,308.7,2009-01-15,"0614",75,285.5,11
"47",42.592,-124.2406,319.9,2009-01-16,"1856",80,284.8,32.7
"48",42.5857,-124.2358,347.1,2009-01-16,"1856",95,286.5,98.2
"49",42.9796,-123.7895,345.4,2009-01-16,"1856",94,293.1,86.6
"50",42.9779,-123.7735,320.4,2009-01-16,"1856",80,290.8,31.5
"51",42.5901,-124.2227,324.6,2009-01-16,"1856",83,288.7,40.6
"52",42.5839,-124.2178,319.4,2009-01-16,"1856",79,286.7,31.6
"53",39.4891,-120.2571,305.8,2009-01-16,"1857",59,273.5,11.9
"54",39.5852,-122.2413,306.1,2009-01-16,"1857",63,293.9,6.2
"55",41.0268,-123.9375,302.7,2009-01-16,"1857",53,287.6,9.4
"56",38.5032,-121.9853,300.3,2009-01-16,"1857",34,289,3.7
"57",41.0987,-123.5698,305.4,2009-01-16,"1857",61,282.8,13.1
"58",35.1175,-119.1731,323.6,2009-01-16,"1858",82,290.3,22.9
"59",42.9783,-123.7916,319.3,2009-01-17,"0603",98,287.6,23.8
"60",42.0991,-124.2653,314.9,2009-01-17,"1939",75,288,26.7
"61",42.8923,-123.6653,334.2,2009-01-18,"0646",100,283.3,107.5
"62",42.8905,-123.6893,330,2009-01-18,"0646",100,282.6,91.1
"63",42.8933,-123.663,316,2009-01-18,"1844",76,284.7,45.6
"64",42.8906,-123.6684,332,2009-01-18,"1844",88,285.7,93.4
"65",36.0831,-120.9608,304.8,2009-01-18,"1846",42,292.4,4.4
"66",42.1007,-124.2657,305.5,2009-01-19,"1927",62,287.9,9.1
"67",40.0243,-122.2425,302.1,2009-01-20,"1833",51,287.1,18.4
"68",39.1216,-116.3347,301,2009-01-20,"1833",43,278.5,8.2
"69",40.0343,-122.2355,303.9,2009-01-20,"1833",58,286.7,20.8
"70",34.0219,-118.0239,308.2,2009-01-20,"1834",56,292.1,6.1
"71",40.8628,-121.9122,322.1,2009-01-23,"1903",81,276.3,24.1
"72",36.2942,-120.1549,312.6,2009-01-25,"1852",73,282.7,11.6
"73",34.0261,-118.0241,305.1,2009-01-25,"1852",35,287,6.8
"74",34.0186,-118.0207,300.2,2009-01-25,"1852",14,287.1,5.6
"75",40.7463,-122.9768,312.4,2009-01-27,"1839",72,276,44.2
"76",40.7462,-122.9832,304.3,2009-01-27,"1839",58,276.4,30.9
"77",40.7444,-122.9611,300.4,2009-01-27,"1839",36,274,24.6
"78",34.8414,-118.2862,303.3,2009-01-27,"1840",55,283.2,6.4
"79",34.4046,-118.937,306.6,2009-01-27,"1840",64,284.7,8.7
"80",42.1823,-123.1077,311.9,2009-01-28,"1921",63,277.1,15.3
"81",41.9026,-121.8852,306.9,2009-01-28,"1921",61,277.4,15
"82",42.1646,-121.5585,301.9,2009-01-28,"1921",49,278.1,10.7
