"","latitude","longitude","brightness","acq_date","acq_time","confidence","bright_t31","frp"
"1",38.8307,-119.0749,312.5,2015-01-03,"1844",73,276.2,15
"2",42.3968,-122.5448,300.1,2015-01-06,"1914",24,282.3,5.8
"3",42.3987,-122.557,327,2015-01-06,"1914",85,283,28.5
"4",37.0673,-120.4459,305.5,2015-01-06,"1916",61,285.6,12.7
"5",42.0417,-120.065,316,2015-01-08,"1902",76,278,17.9
"6",42.0399,-120.0531,300.7,2015-01-08,"1902",41,278,7.3
"7",42.48,-120.3311,327,2015-01-08,"1902",85,271.3,29.6
"8",34.3111,-118.8744,311.5,2015-01-08,"1904",71,293.4,11.8
"9",34.359,-118.9635,307.9,2015-01-08,"1904",66,293,9.1
"10",34.384,-118.8107,305.9,2015-01-08,"1904",55,292.1,7.6
"11",34.3865,-118.8244,306.9,2015-01-08,"1904",57,294.1,8.2
"12",34.6065,-119.3616,302,2015-01-08,"1904",46,290.8,6.3
"13",34.3138,-118.8794,311.9,2015-01-08,"1904",71,292.9,12.3
"14",35.5845,-120.6108,303.8,2015-01-10,"1852",57,289.1,5.4
"15",35.628,-121.0639,309.8,2015-01-10,"1852",69,291.5,9.2
"16",35.5829,-120.5997,310.2,2015-01-10,"1852",70,289.1,9.8
"17",39.1687,-120.6191,301.3,2015-01-12,"1838",29,270.7,14
"18",39.1581,-120.6214,311.3,2015-01-12,"1838",71,269.8,25.7
"19",39.1599,-120.6322,300.9,2015-01-13,"0543",36,274.7,17
"20",38.5399,-120.3013,304.3,2015-01-13,"1921",58,279,18.6
"21",40.4331,-124.1501,318.9,2015-01-13,"1921",79,285.3,18.5
"22",40.4402,-124.136,325,2015-01-13,"1921",63,285.7,24
"23",40.4312,-124.1386,323.7,2015-01-13,"1921",83,283.4,23.8
"24",41.5642,-120.3525,307.9,2015-01-13,"1921",66,275,20.8
"25",36.4169,-119.1277,304.6,2015-01-14,"0625",61,279.2,21.2
"26",34.0927,-117.5365,304.1,2015-01-14,"1827",58,293.2,4.6
"27",42.068,-123.0944,303.1,2015-01-16,"1951",47,277.1,33.6
"28",36.1317,-121.0845,305.3,2015-01-19,"1845",61,290.5,7
"29",36.1335,-121.0782,303.8,2015-01-19,"1845",52,290.8,5
"30",34.0931,-117.5343,308.8,2015-01-19,"1846",66,295.4,5.3
"31",39.1865,-123.6053,314.1,2015-01-20,"1927",74,281.5,21.9
"32",39.1882,-123.6108,306.3,2015-01-20,"1927",63,281.3,13.7
"33",42.4752,-120.3336,303,2015-01-21,"1831",55,271.9,24.3
"34",42.0423,-120.0537,320.2,2015-01-21,"1831",80,272.8,51.3
"35",42.036,-120.0606,313.2,2015-01-21,"1831",73,272.5,38.9
"36",35.4342,-118.5393,302.5,2015-01-21,"1833",42,288.3,6.2
"37",34.0965,-117.5372,304.4,2015-01-21,"1834",55,293.3,3.9
"38",34.0949,-117.5256,306.8,2015-01-21,"1834",62,293.1,5.4
"39",33.7759,-118.2836,317,2015-01-21,"1834",73,294.8,14.8
"40",41.7538,-121.2437,320,2015-01-22,"1914",29,277.6,20.9
"41",41.7423,-121.2332,327.3,2015-01-22,"1914",61,276.7,30
"42",41.7516,-121.2305,328.9,2015-01-22,"1914",75,278.6,32.8
"43",41.7586,-121.2146,322.6,2015-01-22,"1914",59,277.5,25
"44",42.4667,-120.312,351,2015-01-24,"1902",96,283.8,67.6
"45",42.4649,-120.3001,301,2015-01-24,"1902",43,281.9,6.7
"46",39.7267,-122.0561,302.5,2015-01-24,"1903",52,290.7,4.4
"47",34.0097,-117.6197,308.1,2015-01-25,"0606",73,287.7,10.9
"48",34.0082,-117.6312,324.2,2015-01-25,"0606",100,288.4,26.4
"49",39.0126,-120.5886,314.6,2015-01-25,"0607",90,284.6,14.9
"50",34.014,-117.6265,309.5,2015-01-25,"1809",60,297.4,18.2
"51",42.4618,-120.2969,301,2015-01-25,"1945",43,281.8,28.1
"52",42.1265,-120.0571,309.7,2015-01-28,"1838",60,280.9,21.9
"53",42.268,-120.0932,317.9,2015-01-28,"1838",78,278.4,34.9
"54",42.2663,-120.0755,335,2015-01-28,"1838",89,279.1,70.7
"55",42.5884,-124.286,410.9,2015-01-29,"1920",100,293.7,330.3
"56",42.5902,-124.2979,372.4,2015-01-29,"1920",100,288.1,126.7
"57",42.2276,-120.7878,304.4,2015-01-29,"1920",59,278.5,13.6
"58",42.5973,-124.2835,357.4,2015-01-29,"1920",99,291.3,81.2
"59",42.5991,-124.2954,342.5,2015-01-29,"1920",93,287.9,48.5
"60",42.6084,-124.3557,301.9,2015-01-29,"1920",41,274.6,4.2
"61",42.2169,-120.7808,302.8,2015-01-29,"1920",41,278.3,11.4
"62",42.5007,-124.3791,301.6,2015-01-29,"1920",48,286.1,6.3
"63",39.3922,-122.591,323.9,2015-01-29,"1921",83,291,27.2
"64",39.3991,-122.5732,313.8,2015-01-29,"1921",73,291.3,14
"65",39.4017,-122.5874,344.7,2015-01-29,"1921",94,292,66.6
"66",42.8437,-124.0942,318.4,2015-01-30,"2003",69,283.2,103.4
"67",42.8463,-124.0996,311.6,2015-01-30,"2003",50,283,73.2
"68",42.2771,-120.0829,307.8,2015-01-31,"1908",66,278.7,12
"69",40.5074,-122.3184,307.7,2015-01-31,"1909",66,290.2,7.8
"70",38.9049,-122.7945,304.8,2015-01-31,"1909",60,288.6,6.5
"71",38.8033,-123.043,303.5,2015-01-31,"1909",56,291,5
"72",38.7337,-122.8249,305.4,2015-01-31,"1909",60,294.9,5.3
"73",38.0157,-121.5026,306.6,2015-01-31,"1909",56,291.7,7.4
"74",38.0078,-121.5026,300.6,2015-02-02,"1857",27,287.7,3.5
"75",36.8122,-120.5637,302.3,2015-02-02,"1857",39,286.6,4.2
"76",33.3311,-116.7435,310.5,2015-02-02,"1858",64,290.6,15.8
"77",33.3205,-116.7465,331.6,2015-02-02,"1858",86,293.4,53.8
"78",35.6874,-118.2372,308.6,2015-02-02,"1858",66,290.5,9.6
"79",35.6853,-118.2249,303.3,2015-02-02,"1858",45,289.1,5.8
"80",34.2239,-119.2334,309.1,2015-02-02,"1858",62,295.4,6.4
"81",35.7003,-118.5605,313.7,2015-02-04,"1845",73,286,12.8
"82",38.9215,-120.414,300.5,2015-02-05,"0549",28,277.5,11.2
"83",33.3302,-116.7465,307.3,2015-02-05,"1751",47,293.4,56
"84",33.3284,-116.7518,310,2015-02-05,"1751",58,293.9,71.9
"85",38.9572,-120.3733,303.8,2015-02-05,"1927",57,281.1,21.5
"86",38.9498,-120.398,376.1,2015-02-05,"1927",100,284.9,374
"87",38.9452,-120.3769,341,2015-02-05,"1927",92,281.7,125.7
"88",38.9581,-120.4006,314.4,2015-02-05,"1927",75,279.9,39.4
"89",38.9537,-120.3795,328.7,2015-02-05,"1927",86,282,78.3
"90",38.9418,-120.3837,346.4,2015-02-05,"1927",94,282.5,150.2
"91",38.9463,-120.4048,351.9,2015-02-05,"1927",97,283,180.9
"92",39.8288,-120.6026,306.5,2015-02-05,"1927",43,280.9,20
"93",39.8341,-120.6075,317.5,2015-02-05,"1927",78,280.9,41.8
"94",37.3303,-119.2856,309.4,2015-02-05,"1928",65,284.1,39.6
"95",37.325,-119.2625,318.7,2015-02-05,"1928",79,284.1,71
"96",41.3867,-117.5381,303.8,2015-02-06,"1831",57,287.3,7.9
"97",35.131,-120.414,314.7,2015-02-06,"1833",73,292.3,22
"98",35.1301,-120.4211,308.6,2015-02-06,"1833",63,292,13.8
"99",35.1283,-120.4043,326.7,2015-02-06,"1833",83,293,44.8
"100",34.3837,-118.921,319.3,2015-02-06,"1833",77,295.7,19.8
"101",34.252,-119.0108,305.9,2015-02-06,"1833",29,294,5.5
"102",34.251,-119.0044,305.3,2015-02-06,"1833",39,293.6,5.3
"103",33.329,-116.7691,344,2015-02-06,"1834",92,297.5,50.5
"104",33.3276,-116.7583,347.9,2015-02-06,"1834",94,298.3,58
"105",37.5131,-118.6307,349.7,2015-02-07,"0536",100,272.2,128.8
"106",37.535,-118.6361,312.4,2015-02-07,"0536",74,271.8,29.7
"107",37.5157,-120.69,305.4,2015-02-07,"1915",49,285.6,8.8
"108",36.9598,-120.162,312.9,2015-02-07,"1916",71,285.5,20.4
"109",37.4245,-120.8162,304.5,2015-02-07,"1916",59,287.9,8.6
"110",36.9331,-120.255,303.6,2015-02-07,"1916",43,281.5,11
"111",36.5949,-119.875,301.2,2015-02-08,"0619",39,284.8,8.6
"112",36.6293,-119.8213,307.5,2015-02-09,"1903",65,290.4,6
"113",36.6273,-119.8091,308.9,2015-02-09,"1903",68,291.7,7
"114",37.1483,-121.0212,305.7,2015-02-09,"1903",62,290,6.3
"115",36.995,-120.0186,308.3,2015-02-09,"1903",67,290.9,8.3
"116",37.1662,-121.0168,305.1,2015-02-09,"1903",59,290.5,5.7
"117",36.993,-120.0066,302.5,2015-02-09,"1903",53,290.5,4.4
"118",36.9733,-120.2168,303.7,2015-02-09,"1903",57,290.9,5.2
"119",36.9714,-120.205,316.5,2015-02-09,"1903",77,291.2,15
"120",36.7382,-119.483,318,2015-02-09,"1903",78,292.2,18.2
"121",36.6944,-120.0014,306.6,2015-02-09,"1903",64,293.4,5.1
"122",36.7842,-120.7676,306,2015-02-09,"1903",63,292.1,5.5
"123",36.7787,-120.7331,308.2,2015-02-09,"1903",67,290.5,7.2
"124",36.7769,-120.7216,306.8,2015-02-09,"1903",64,291.2,6.3
"125",36.9431,-120.3228,306.6,2015-02-09,"1903",64,290.6,7.1
"126",36.9412,-120.311,302,2015-02-09,"1903",50,290.1,4.3
"127",37.4622,-120.4896,300.7,2015-02-09,"1903",41,289.9,3.9
"128",36.7936,-119.9821,311,2015-02-09,"1903",71,292.2,8.9
"129",36.5836,-119.4115,307.2,2015-02-09,"1903",65,293,6.3
"130",36.4413,-119.4346,310.1,2015-02-09,"1904",70,293.1,9.8
"131",35.9916,-119.1049,303.8,2015-02-09,"1904",35,292.2,4.6
"132",34.3869,-118.9217,314.3,2015-02-09,"1904",74,295.1,15.4
"133",36.0402,-119.324,309.1,2015-02-09,"1904",68,295,8.8
"134",36.0588,-119.1421,308.2,2015-02-09,"1904",67,295.3,6.6
"135",36.0596,-119.1353,307.8,2015-02-09,"1904",55,295.1,5.6
"136",36.0425,-119.3369,312.2,2015-02-09,"1904",72,294.3,11.8
